City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
maneromango,20,TZ,1554667200,94,-7.2,38.78,77.0,6.93
aldan,80,RU,1554672749,81,58.61,125.39,21.31,2.39
jinchang,68,CN,1554672749,76,38.52,102.19,39.13,2.84
juruti,68,BR,1554672750,80,-2.16,-56.09,83.86,2.06
hofn,88,IS,1554672728,100,64.25,-15.21,36.52,15.37
duku,24,NG,1554672750,45,11.24,4.91,84.76,4.52
moree,0,AU,1554671828,63,-29.46,149.84,70.0,8.05
santa cecilia,88,CO,1554672751,94,5.35,-76.12,69.28,2.17
ambulu,68,ID,1554672751,100,-8.35,113.61,78.37,3.62
muros,75,ES,1554672735,100,42.77,-9.06,57.0,5.82
itaueira,56,BR,1554672752,82,-7.6,-43.03,79.36,2.84
ahipara,76,NZ,1554672584,85,-35.17,173.16,63.52,15.93
iskilip,24,TR,1554672752,79,40.73,34.47,43.54,1.05
rocha,0,UY,1554672596,66,-34.48,-54.34,68.74,3.18
preeceville,0,CA,1554672752,63,51.95,-102.67,49.84,8.21
mujiayingzi,0,CN,1554672753,49,42.12,118.78,24.64,4.29
guerrero negro,0,MX,1554672753,48,27.97,-114.04,77.74,13.02
saint-francois,90,FR,1554672642,93,46.42,3.91,46.4,2.24
san juan,75,PH,1554672719,74,14.6,121.03,82.4,4.7
gueret,0,FR,1554672667,81,46.17,1.87,48.0,4.7
araouane,0,ML,1554672754,24,18.9,-3.53,69.28,7.99
boljevac,0,RS,1554670800,62,43.83,21.96,53.6,5.82
holme,0,GB,1554672753,81,53.7,-2.31,53.6,6.93
gushikawa,20,JP,1554671160,93,26.35,127.87,73.4,6.87
nha trang,20,VN,1554670800,88,12.24,109.19,77.0,3.36
calderitas,40,MX,1554669660,66,18.55,-88.26,86.0,18.34
nuuk,40,GL,1554670200,60,64.17,-51.74,39.2,2.24
tombouctou,0,ML,1554672756,17,16.77,-3.01,79.18,9.78
kotma,64,IN,1554672756,64,23.2,81.98,70.99,3.06
nargana,12,PA,1554672756,100,9.44,-78.59,81.34,11.45
caceres,48,CO,1554672756,73,5.53,-74.53,77.56,0.16
tazovskiy,92,RU,1554672644,93,67.47,78.7,28.06,9.55
kongoussi,20,BF,1554672757,22,13.32,-1.53,86.2,10.45
cayenne,75,GF,1554670800,83,4.94,-52.33,78.8,6.93
hami,88,CN,1554672757,68,42.84,93.51,43.45,1.39
sassandra,12,CI,1554672757,94,4.95,-6.09,83.95,16.49
carauari,92,BR,1554672678,98,-4.88,-66.9,73.15,5.86
waipawa,92,NZ,1554672017,96,-39.94,176.59,52.0,10.11
westport,12,IE,1554672723,80,53.8,-9.52,48.0,18.01
golden,75,CA,1554670800,49,51.3,-116.96,48.2,11.41
okato,44,NZ,1554672555,63,-39.19,173.88,64.99,8.99
murdochville,48,CA,1554672759,57,48.96,-65.49,21.31,19.17
ermelo,20,NL,1554672752,66,52.3,5.62,59.0,5.82
nouadhibou,0,MR,1554670800,72,20.93,-17.03,66.2,14.99
billings,75,US,1554672718,34,45.79,-108.5,64.4,16.11
basco,75,US,1554672710,53,40.33,-91.2,77.0,13.87
campoverde,40,IT,1554672724,76,41.54,12.73,53.01,1.12
puerto escondido,40,MX,1554669720,70,15.86,-97.07,84.2,11.41
viedma,0,AR,1554672749,26,-40.81,-62.99,84.58,2.28
daru,92,SL,1554672761,97,7.99,-10.85,72.7,6.76
namie,75,JP,1554672705,60,37.52,140.86,42.01,4.7
kapit,64,MY,1554672761,97,2.02,112.94,73.87,2.39
talnakh,88,RU,1554672667,91,69.49,88.39,18.16,12.46
karachi,0,PK,1554670500,78,24.87,67.03,78.8,5.82
paragominas,92,BR,1554672762,88,-3.0,-47.35,79.0,3.06
narsaq,88,GL,1554670200,88,60.91,-46.05,32.0,3.36
arlit,0,NE,1554672741,18,18.74,7.39,76.48,7.65
talakan,12,RU,1554672762,82,50.29,130.28,20.68,2.28
mahebourg,40,MU,1554672540,74,-20.41,57.7,80.6,12.75
acajutla,56,SV,1554672642,57,13.59,-89.83,84.67,4.97
awbari,0,LY,1554672763,31,26.59,12.77,67.66,10.67
evensk,0,RU,1554672763,95,61.92,159.24,24.01,18.39
mudbidri,40,IN,1554670800,74,13.08,74.98,84.2,3.36
gagino,32,RU,1554672728,70,54.27,39.54,34.0,2.84
murgab,44,TM,1554670800,87,37.5,61.97,59.0,4.7
penticton,40,CA,1554672306,50,49.49,-119.59,55.4,13.87
alnashi,88,RU,1554672765,96,56.18,52.48,33.64,7.43
haapiti,20,PF,1554670945,66,-17.57,-149.87,89.01,9.17
hervey bay,8,AU,1554670800,82,-25.3,152.85,66.2,8.05
san quintin,0,PH,1554672550,82,17.54,120.52,67.93,3.18
mathathane,8,BW,1554672766,72,-22.27,28.75,72.61,12.8
deputatskiy,0,RU,1554672766,52,69.3,139.9,-0.84,2.73
komsomolskiy,92,RU,1554672766,86,67.55,63.78,25.36,6.98
paita,0,PE,1554670800,290,-5.09,-81.11,62.6,9.17
baruun-urt,0,MN,1554672767,55,46.68,113.28,9.7,4.97
kidal,0,ML,1554672665,17,18.44,1.41,73.78,10.33
ajdabiya,0,LY,1554672767,56,30.75,20.22,62.53,8.43
salalah,20,OM,1554670200,83,17.01,54.1,78.8,3.36
turukhansk,92,RU,1554672767,89,65.8,87.96,23.56,16.49
portland,90,US,1554672254,81,45.52,-122.67,55.0,5.82
maragogi,64,BR,1554672539,90,-9.01,-35.22,79.27,6.53
kaeo,8,NZ,1554671285,85,-35.1,173.78,59.0,3.0
lazaro cardenas,20,MX,1554672524,23,28.39,-105.62,77.0,9.17
lakatoro,0,VU,1554672769,90,-16.11,167.42,80.26,8.43
shahreza,80,IR,1554672769,76,32.01,51.87,39.31,3.18
riyadh,40,SA,1554670800,44,24.63,46.72,77.0,10.29
la orilla,0,MX,1554672769,64,18.0,-102.23,84.04,7.65
shubarkuduk,80,KZ,1554672770,89,49.15,56.49,43.27,10.67
kytmanovo,0,RU,1554672770,70,53.46,85.45,14.83,2.95
vuktyl,92,RU,1554672770,94,63.86,57.31,34.36,5.97
ust-nera,80,RU,1554672771,89,64.57,143.24,18.7,2.62
bonthe,76,SL,1554672771,78,7.53,-12.5,81.88,4.18
zabid,0,YE,1554672771,84,14.2,44.5,47.95,2.62
shaunavon,36,CA,1554672771,36,49.65,-108.41,55.78,17.27
swan hill,32,AU,1554672772,84,-35.34,143.56,50.38,6.42
lieksa,32,FI,1554672772,80,63.32,30.02,26.98,2.39
bowen,8,AU,1554672678,93,-20.01,148.25,71.01,6.93
broome,12,GB,1554672640,100,52.47,1.45,46.99,3.36
sindor,92,RU,1554672773,97,62.87,51.9,34.27,4.29
kovur,20,IN,1554672773,69,14.5,79.99,75.04,4.41
nabire,92,ID,1554672765,99,-3.36,135.5,67.93,2.17
general roca,0,AR,1554670800,23,-39.03,-67.58,87.8,2.24
sistranda,20,NO,1554672644,74,63.73,8.83,37.0,2.24
bereda,75,ES,1554672605,93,43.27,-7.54,54.0,6.93
simdega,48,IN,1554672774,86,22.61,84.51,65.14,1.83
lurgan,0,GB,1554672605,93,54.46,-6.33,48.99,5.82
harer,90,US,1554672721,71,42.19,-111.17,57.0,6.93
ponta delgada,20,PT,1554672542,54,37.73,-25.67,57.2,14.99
novikovo,12,UA,1554672775,93,45.05,34.56,43.9,2.84
miranda,40,CO,1554670800,62,3.25,-76.23,84.2,8.05
mareeba,40,AU,1554672665,83,-16.99,145.42,73.99,11.41
miyako,75,JP,1554672556,82,33.63,130.94,57.2,5.82
bad wildbad,75,DE,1554672761,87,48.75,8.55,54.0,13.87
lahij,0,YE,1554672776,76,13.06,44.88,65.86,2.17
willowmore,24,ZA,1554672776,84,-33.3,23.49,53.53,2.17
sinnamary,80,GF,1554672611,94,5.38,-52.96,80.44,12.01
baykit,8,RU,1554672743,83,61.68,96.39,14.83,6.31
san jeronimo,68,PE,1554672777,47,-13.65,-73.37,59.83,2.51
awjilah,0,LY,1554672777,44,29.14,21.3,70.0,8.21
nandyal,0,IN,1554672777,64,15.47,78.48,73.6,4.41
gainesville,1,US,1554672544,48,29.65,-82.33,87.8,5.82
chivilcoy,0,AR,1554672778,43,-34.9,-60.02,75.13,3.96
vanavara,0,RU,1554672778,74,60.35,102.28,23.2,7.31
haines junction,8,CA,1554672778,81,60.75,-137.51,36.16,3.29
